sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.1885;0.0;0.0;647.17780828;-0.00065655;-4958.61092859;-0.00676382;-521.14130307;-6.302e-05;-2024.50202336;-0.0725638
0.0;0.0;0.0;0.1257;0.0;129.12429421;-5.859e-05;518.58565618;-9.38e-05;-268.53768186;-5.257e-05;145.09296793;0.00801554
0.0;0.0;0.2199;0.0;0.0;903.5619994;-0.0010972;2378.53208532;-0.00205612;-453.97764567;-5.794e-05;-920.68411165;-0.00771107
0.1885;0.0;0.0;0.0;0.0;-131.99715063;9.86e-06;-714.37866171;-0.00016899;-646.71953308;-0.00014581;1025.80002921;-0.00534206
0.0;0.0;0.0;0.0;0.1257;702.45066624;-0.00059557;5567.87040931;-0.01171468;-831.08551132;-0.00040439;-98.97601413;-0.00331254
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.1571;0.0;246.29637812;-0.0001397;535.09600528;-0.00011337;-500.47341231;-0.00025274;-90.70621338;-0.01251201
0.0;0.0;0.0314;0.0;0.0;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.1885;0.0;0.0;0.0;0.0;-2008.17786557;-0.00412979;-918.19761077;-0.00015333;-360.91192205;0.00070351;308.29295626;-0.0028995
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.1257;252.14559536;-0.00015548;527.08348239;-8.1e-05;-906.1352619;-0.00064308;-1028.87485533;-0.03544029
0.0;0.0;0.0;0.1257;0.0;719.05263615;-0.00071151;7592.3220841;-0.01711564;-319.13270286;-5.383e-05;539.44454246;0.003421
0.0;0.0;0.0;0.0;0.0942;662.52034389;-0.00053416;1182.63638236;-0.00049647;-1682.40364415;-0.0011308;864.53862571;-0.00176621
