sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.2513;0.0;0.0;0.0;0.1571;-933.24282695;-0.25887014;4377.34401812;-1.04163247;-534.91617338;-0.02877563;1840.04567623;-2.16737171
0.0;0.1885;0.1885;0.0;0.2199;608.26556569;-0.09208822;7244.39147636;-4.2979677;-519.4549638;-0.02352434;-1549.60323013;-6.28904061
0.0;0.0;0.0;0.2199;0.0;443.88582054;-0.0129378;1628.34034679;-0.07445002;-685.72322415;-0.05342899;1066.9741282;-0.06656202
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.2513;423.23806427;-0.00566646;1712.96968308;-0.09919584;-704.59409907;-0.02601183;972.71004261;-0.31941013
0.0;0.1571;0.0;0.0;0.1257;2344.57490116;-0.92650331;4176.98760507;-0.80928883;-654.0204019;-0.04238084;858.14940703;-0.30790999
0.1885;0.0;0.0942;0.0;0.1571;-5097.66000079;-7.28310959;4508.67847273;-1.25402861;-527.50970031;-0.02798129;3396.85828463;-10.33750717
0.0;0.0;0.0628;0.2513;0.0;3360.03722227;-1.51806486;4297.29199801;-0.85940433;-349.6096002;4.63504009;855.19695559;-0.24275869
0.1571;0.2513;0.0;0.0;0.1571;-553.42047391;-0.10412394;-6589.57633629;-3.92522842;-523.92021285;-0.03547942;109715.89654104;-14461.24761519
0.0;0.0;0.1885;0.0;0.0942;2550.06177344;-0.96399821;2534.86578557;-0.23452424;-239.60750653;-2.07920663;982.96715579;-0.20291265
0.2199;0.0;0.0;0.0;0.0;4392.47476141;-4.37320181;2730.75489856;-0.22169489;-708.77242668;-0.02043417;749.1235557;0.03811918
0.0;0.1885;0.1885;0.0;0.0942;-2057.08403438;-0.98608894;-8231.71367559;-5.69970678;-505.61607868;-0.02800859;5122.78627152;-24.59908506
0.0;0.0;0.1257;0.1257;0.0;627.76164844;-0.04342495;1817.35470297;-0.09337837;-618.61669246;-0.02583621;824.01357789;-0.18126325
0.0;0.0628;0.0;0.0;0.0;639.17361794;-0.02203365;1586.22127773;-0.01410532;-817.68360268;-0.00376002;517.77244947;-0.00111471
0.0;0.0;0.1571;0.0;0.0;837.08352064;-0.06704699;1719.13336001;-0.04090228;-1134.38322162;-0.16008326;562.82842023;0.00826662
0.1885;0.0;0.0;0.1571;0.0;2318.73820705;-1.30990809;5270.78488742;-1.45523467;-701.10002835;-0.03285376;1574.23963779;-1.61276089
0.0628;0.0;0.0;0.0;0.0;722.36550327;-0.03337096;1549.16155257;-0.00837737;-830.05091329;-0.00304078;526.42445342;-0.00283915
0.0;0.0;0.0;0.0;0.1257;484.96316592;-0.0063095;1883.56900773;-0.0554986;-728.22597367;-0.01264233;544.77696377;0.00553134
0.1571;0.2199;0.0;0.0;0.0;555.74479302;-0.08468443;5077.27295518;-1.33012673;-613.82990857;-0.03659105;2126.43345727;-4.63868052
0.0;0.0;0.0314;0.0;0.2199;543.88800711;-0.01592618;1575.94760453;-0.06834779;-598.94291008;-0.02131404;866.55084808;-0.22135373
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2513;0.0;0.1571;0.0;5294.30881669;-6.20124692;4238.72534844;-0.95791769;-644.44126841;-0.02985996;2310.25734036;-3.45051271
0.2513;0.0;0.0942;0.0;0.0;-791.37049949;-0.2177239;7012.07670288;-2.52265739;-519.23396785;-0.02298797;1437.88499627;-1.41399175
0.0;0.0942;0.0;0.0;0.0;333.22738148;-0.00275227;1538.06928918;-0.01956873;-1014.64122556;-0.02480866;608.82214913;-0.05877898
0.0;0.0;0.0;0.0942;0.1571;546.50475145;-0.01712015;2729.52090949;-0.27477687;-589.28992907;-0.03456641;935.90403188;-0.18760132
0.0;0.0;0.0;0.0942;0.0;367.31221769;-0.00151363;1321.39343569;-0.00923851;-793.05619943;-0.12262271;613.30420642;-0.02593609
0.0;0.0;0.2199;0.0;0.0;1934.23544227;-0.53820626;1901.07054989;-0.08821888;-718.52438239;-0.01937401;944.50283722;0.80252581
0.0;0.1571;0.0628;0.0;0.2199;-694.95678853;-0.0989168;8636.25283259;-4.95102439;-680.84983637;-0.14591321;1961.67594328;-2.62951439
0.0314;0.0;0.0;0.0;0.0;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.0942;0.1571;0.1257;0.0;0.0;4745.8083594;-5.52266467;6821.22642039;-2.4313899;-625.7974934;-0.02920428;2440.98254731;-4.13475526
0.1257;0.0;0.1571;0.0;0.0;-487.74823855;-0.04247961;2604.55737199;-0.2230573;-763.07797454;-0.13807875;829.70059783;-0.16662773
0.0;0.2199;0.0;0.0;0.1885;-16471.43611495;-51.51767542;5317.42113763;-1.59720013;-709.37039357;-0.05411008;1498.73872883;-1.46137086
0.0;0.0;0.0;0.0942;0.2513;332.21279146;-0.00405693;1269.89041464;-0.05818425;-594.37542022;-0.02956141;2292.66706966;-4.31496438
0.1571;0.0;0.0;0.0;0.0628;-3323.52709184;-2.15584629;3082.69254993;-0.30103549;-600.32548971;-0.03099376;727.21072827;0.13915202
0.0;0.0942;0.0;0.0314;0.2827;346.73127131;-0.01091337;2625.11994437;-0.3665397;-733.60306331;-0.03998323;3591.18078856;-10.95550573
0.0;0.0;0.2513;0.0;0.0;1020.40159844;-0.15103582;2432.41291562;-0.203684;-557.52974104;-0.02403256;919.88436776;-0.02518093
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.0628;416.73635499;-0.00141912;1503.10007;-0.01080659;-777.66986698;-0.00688193;534.87707851;-0.00246361
0.0;0.0;0.2513;0.0;0.0;-5771.61790702;-5.96879077;3783.82722117;-0.56854564;-638.05178382;-0.02126599;790.47695089;-0.12249906
0.0;0.0314;0.1571;0.0628;0.1257;679.08300125;-0.06608441;4945.44167842;-1.30701655;-529.19434124;-0.02209449;1550.45553383;-1.6085244
0.0;0.0;0.0;0.0;0.2513;548.15539605;-0.01557498;2113.76538781;-0.14583062;-670.38489099;-0.02437997;825.55247151;-0.15446397
0.0;0.2199;0.2199;0.0;0.0;-739.45898663;-0.15496091;3930.98447383;-0.84419052;-676.2974038;-0.0265062;1675.95693625;-2.26852899
0.0;0.0942;0.0;0.0;0.0;973.17701024;-0.08439379;1690.92961316;-0.01981462;-758.85884183;-0.0119798;538.18100214;-0.00431227
